,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,ReadingScore,WritingScore,MathScore
346,female,group C,some college,standard,none,divorced,never,yes,4,school_bus,> 10,57,56,58
347,female,group C,some high school,standard,none,single,sometimes,yes,5,,05-Oct,45,47,37
348,male,group C,some college,free/reduced,none,married,sometimes,yes,0,school_bus,< 5,52,49,52
349,female,group C,high school,standard,completed,married,regularly,no,4,private,05-Oct,90,93,81
350,male,group D,high school,free/reduced,none,married,regularly,no,1,private,< 5,60,48,48
351,male,group A,high school,free/reduced,completed,married,regularly,yes,3,school_bus,05-Oct,68,67,56
353,male,group C,some college,standard,none,married,sometimes,yes,2,school_bus,05-Oct,70,67,73
354,male,group C,high school,standard,completed,divorced,never,yes,2,private,05-Oct,80,77,81
355,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,90,91,94
356,male,group E,master's degree,free/reduced,completed,married,sometimes,yes,4,school_bus,05-Oct,86,84,76
357,male,group D,,free/reduced,none,married,never,yes,7,school_bus,> 10,73,65,77
358,male,group B,some high school,standard,completed,single,sometimes,no,,school_bus,05-Oct,46,46,47
359,male,group E,some college,free/reduced,none,married,sometimes,yes,3,school_bus,< 5,79,78,93
360,male,group D,high school,standard,completed,married,sometimes,no,,school_bus,05-Oct,77,76,72
361,male,group B,some high school,standard,completed,married,regularly,yes,4,school_bus,05-Oct,60,56,62
362,female,group C,bachelor's degree,free/reduced,completed,,never,yes,1,school_bus,05-Oct,53,54,49
363,female,group C,some high school,standard,none,married,regularly,yes,2,private,< 5,74,62,59
364,male,group C,associate's degree,free/reduced,completed,divorced,sometimes,yes,0,school_bus,05-Oct,71,67,71
365,female,group B,high school,standard,none,married,regularly,no,1,school_bus,05-Oct,47,51,43
366,male,group D,high school,standard,none,married,regularly,yes,3,school_bus,< 5,51,54,60
367,female,group B,high school,free/reduced,,divorced,never,no,4,school_bus,< 5,54,43,36
368,female,group D,associate's degree,standard,completed,married,regularly,yes,1,private,05-Oct,100,100,98
369,female,group B,high school,standard,completed,married,regularly,yes,1,school_bus,> 10,67,77,62
370,female,group C,bachelor's degree,standard,,married,sometimes,no,1,school_bus,05-Oct,100,94,80
371,female,group D,,standard,none,single,regularly,yes,2,school_bus,05-Oct,64,68,59
372,female,group A,associate's degree,standard,completed,married,sometimes,no,1,school_bus,< 5,58,57,46
373,female,group A,high school,free/reduced,none,married,,yes,1,school_bus,05-Oct,63,57,54
374,female,group C,some college,standard,none,married,never,no,2,private,05-Oct,71,78,57
375,female,group C,some high school,standard,completed,married,regularly,no,6,,< 5,68,69,55
376,male,group E,master's degree,free/reduced,none,married,never,no,1,school_bus,05-Oct,71,71,71
377,female,group D,associate's degree,standard,completed,married,regularly,yes,4,private,05-Oct,89,95,82
378,female,group D,bachelor's degree,standard,none,divorced,regularly,yes,0,school_bus,> 10,63,59,49
379,male,group D,bachelor's degree,free/reduced,completed,divorced,sometimes,yes,1,school_bus,< 5,74,77,71
380,male,group B,master's degree,free/reduced,,single,regularly,yes,0,school_bus,> 10,61,64,65
381,female,group B,some college,standard,completed,single,regularly,yes,3,private,05-Oct,57,55,43
382,male,group B,high school,free/reduced,completed,married,sometimes,yes,2,,> 10,58,61,61
383,male,group C,some high school,free/reduced,none,single,never,yes,3,private,05-Oct,37,35,39
384,male,group C,some college,free/reduced,completed,single,never,yes,2,school_bus,< 5,67,63,55
385,female,group E,associate's degree,standard,none,married,regularly,yes,0,private,05-Oct,80,85,80
386,male,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,3,school_bus,< 5,46,47,45
387,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,05-Oct,69,59,70
388,male,group C,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,05-Oct,54,52,59
389,male,group E,high school,free/reduced,none,married,regularly,yes,2,private,< 5,66,69,76
390,female,group B,master's degree,standard,none,married,sometimes,no,2,private,05-Oct,48,47,39
391,male,group B,some high school,standard,,married,regularly,yes,1,private,05-Oct,76,78,74
392,male,group A,some high school,standard,none,single,never,no,2,school_bus,< 5,61,52,63
393,female,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,2,school_bus,05-Oct,56,60,51
394,female,group A,associate's degree,standard,,married,sometimes,no,1,school_bus,05-Oct,100,100,90
395,female,group B,master's degree,standard,completed,married,sometimes,yes,1,school_bus,05-Oct,77,73,59
396,female,group A,associate's degree,free/reduced,none,married,regularly,yes,1,school_bus,< 5,45,44,42
397,male,group D,associate's degree,standard,none,,regularly,yes,3,school_bus,< 5,64,69,65
398,male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,,79,74,83
399,female,group D,high school,free/reduced,none,married,,no,3,school_bus,> 10,63,63,48
400,male,group E,high school,standard,none,,regularly,yes,3,private,05-Oct,71,59,75
401,female,group B,some high school,standard,completed,married,sometimes,yes,4,private,05-Oct,65,66,58
402,female,group C,associate's degree,standard,none,divorced,sometimes,no,3,school_bus,05-Oct,100,97,95
403,female,group C,associate's degree,standard,none,married,regularly,yes,2,school_bus,05-Oct,97,93,97
404,male,group E,some college,standard,none,married,regularly,yes,0,,05-Oct,69,63,78
405,female,group C,some college,standard,none,single,regularly,no,2,private,< 5,72,70,66
406,female,group E,associate's degree,free/reduced,none,married,sometimes,no,1,school_bus,05-Oct,74,71,64
407,female,group B,associate's degree,standard,none,single,sometimes,yes,4,private,05-Oct,93,90,82
408,male,group A,associate's degree,free/reduced,none,married,regularly,yes,1,school_bus,05-Oct,56,55,56
409,female,group B,some college,standard,none,married,never,no,2,private,05-Oct,51,44,37
410,male,group B,some college,free/reduced,completed,single,regularly,yes,0,private,> 10,57,54,65
411,male,group C,bachelor's degree,standard,completed,single,sometimes,yes,1,school_bus,05-Oct,94,99,100
412,male,group B,master's degree,free/reduced,none,,regularly,yes,3,school_bus,> 10,61,58,58
413,female,group C,high school,free/reduced,none,divorced,regularly,no,1,private,05-Oct,51,54,35
415,male,group C,bachelor's degree,standard,completed,married,never,yes,4,private,< 5,93,94,94
417,male,group D,bachelor's degree,standard,none,married,regularly,yes,5,,05-Oct,74,73,79
418,female,group B,high school,free/reduced,none,single,regularly,yes,0,private,> 10,65,62,50
419,female,group C,master's degree,standard,none,married,never,yes,1,private,< 5,64,61,59
420,female,group D,master's degree,standard,none,divorced,sometimes,no,3,school_bus,> 10,50,57,41
421,male,group D,some college,standard,completed,married,regularly,yes,2,school_bus,< 5,92,99,99
422,female,group E,some college,standard,none,married,sometimes,no,3,school_bus,05-Oct,67,73,77
423,male,group D,associate's degree,standard,none,married,regularly,yes,0,school_bus,05-Oct,71,74,73
424,female,group A,some high school,standard,none,married,regularly,yes,2,school_bus,> 10,50,53,41
425,male,group E,some high school,standard,completed,married,regularly,yes,2,private,< 5,74,75,85
426,male,group B,some college,free/reduced,completed,married,regularly,yes,4,private,> 10,78,87,86
427,female,group C,some college,free/reduced,none,married,never,no,1,,05-Oct,65,61,50
428,male,group D,high school,standard,completed,single,sometimes,yes,3,school_bus,05-Oct,50,54,64
429,female,group E,some college,free/reduced,none,married,never,yes,1,private,05-Oct,83,73,77
431,female,group D,high school,standard,none,married,regularly,no,3,private,05-Oct,90,91,77
432,male,group B,some college,standard,,married,sometimes,yes,3,school_bus,05-Oct,49,49,56
433,male,group E,some high school,free/reduced,none,married,sometimes,yes,3,private,< 5,84,76,87
434,female,group D,associate's degree,free/reduced,,divorced,regularly,yes,0,,> 10,65,70,57
435,male,group D,some high school,standard,completed,married,regularly,yes,5,,> 10,76,74,82
436,male,group B,some high school,standard,none,married,regularly,no,4,private,05-Oct,52,54,61
437,male,group E,some college,free/reduced,none,married,sometimes,yes,0,private,< 5,53,49,59
438,male,group C,associate's degree,standard,completed,married,never,yes,,private,< 5,82,80,79
439,male,group D,associate's degree,free/reduced,none,divorced,sometimes,yes,4,,05-Oct,58,56,51
440,female,group E,high school,standard,completed,single,,no,1,school_bus,05-Oct,77,71,74
441,female,group D,high school,standard,none,,sometimes,no,1,school_bus,05-Oct,49,49,43
443,female,group C,some high school,standard,none,married,sometimes,yes,4,private,05-Oct,65,58,64
444,male,group A,high school,free/reduced,completed,married,regularly,no,1,private,05-Oct,63,59,70
445,female,group B,associate's degree,standard,none,divorced,never,no,,private,< 5,76,77,84
446,female,group C,some college,free/reduced,none,married,never,no,4,school_bus,> 10,41,37,33
447,male,group E,some college,free/reduced,none,single,sometimes,no,,school_bus,> 10,43,34,41
448,male,group C,high school,standard,completed,married,sometimes,yes,4,private,< 5,62,68,67
449,female,group D,some high school,standard,completed,married,regularly,no,2,private,05-Oct,68,74,63
450,male,group D,associate's degree,free/reduced,completed,married,never,no,2,school_bus,> 10,66,68,63
451,male,group C,some college,standard,,divorced,sometimes,yes,1,private,> 10,68,68,70
452,male,group C,high school,standard,none,married,regularly,yes,2,,05-Oct,78,73,84
453,female,group E,some high school,standard,none,divorced,never,yes,2,private,> 10,70,69,67
454,female,group B,high school,free/reduced,none,married,sometimes,no,4,private,05-Oct,68,67,53
455,male,,high school,standard,completed,divorced,never,no,2,private,> 10,75,73,79
456,male,group B,some college,standard,completed,married,sometimes,yes,4,,05-Oct,93,90,83
457,male,group C,associate's degree,free/reduced,none,single,regularly,no,2,private,05-Oct,58,52,56
458,female,group D,bachelor's degree,free/reduced,completed,single,sometimes,yes,3,school_bus,< 5,73,68,58
459,female,group D,high school,standard,completed,single,regularly,yes,1,private,05-Oct,80,86,67
460,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,4,private,< 5,98,98,96
461,male,group D,associate's degree,standard,none,,regularly,yes,5,school_bus,< 5,72,69,71
462,male,group C,,standard,,divorced,regularly,no,2,,05-Oct,56,52,58
463,female,group D,associate's degree,standard,,married,,no,2,school_bus,< 5,72,76,71
464,female,group C,master's degree,standard,none,married,sometimes,no,3,school_bus,< 5,81,76,82
465,female,group C,master's degree,free/reduced,none,single,sometimes,yes,1,,< 5,79,76,59
466,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,4,school_bus,< 5,63,69,61
467,male,group C,some high school,standard,none,divorced,regularly,yes,2,school_bus,< 5,43,40,44
468,male,group D,bachelor's degree,standard,none,married,regularly,no,3,school_bus,,70,69,79
469,female,group D,associate's degree,standard,,married,sometimes,no,5,private,< 5,78,78,73
471,female,group B,,standard,none,divorced,sometimes,,4,private,05-Oct,82,75,66
472,male,group E,master's degree,free/reduced,none,divorced,regularly,no,2,private,< 5,72,73,59
473,female,group D,bachelor's degree,free/reduced,none,single,regularly,yes,3,school_bus,05-Oct,78,79,62
475,female,group E,master's degree,standard,none,married,regularly,yes,2,school_bus,05-Oct,100,100,97
476,male,group D,some high school,free/reduced,completed,single,regularly,no,2,school_bus,< 5,52,48,43
477,female,group D,master's degree,standard,none,married,regularly,no,2,school_bus,> 10,91,100,95
478,male,group B,bachelor's degree,standard,none,married,never,no,1,school_bus,< 5,68,65,71
479,female,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,05-Oct,93,92,94
480,male,group A,some high school,standard,completed,divorced,sometimes,no,4,school_bus,05-Oct,74,79,84
481,female,group C,some college,free/reduced,completed,divorced,sometimes,yes,1,private,> 10,75,82,63
482,male,,master's degree,standard,none,single,regularly,no,3,school_bus,05-Oct,91,93,98
483,male,group C,some college,free/reduced,completed,married,sometimes,no,1,school_bus,> 10,71,67,66
484,female,group E,high school,free/reduced,completed,single,sometimes,yes,5,,05-Oct,61,67,54
485,male,group C,high school,standard,none,married,regularly,yes,2,school_bus,,63,60,64
486,female,group B,associate's degree,standard,none,married,regularly,yes,3,school_bus,05-Oct,51,50,48
487,female,group E,some high school,standard,none,married,never,yes,3,school_bus,> 10,71,66,69
488,male,group B,high school,standard,none,single,sometimes,yes,1,school_bus,05-Oct,60,59,60
490,female,group C,some high school,standard,,divorced,sometimes,no,6,,05-Oct,50,59,59
491,female,,,standard,completed,married,sometimes,yes,2,,> 10,77,84,69
492,male,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,05-Oct,61,64,71
493,male,group C,high school,standard,none,married,never,no,3,school_bus,< 5,48,46,51
494,female,group E,master's degree,standard,none,single,regularly,yes,1,school_bus,< 5,94,93,89
495,male,group D,some high school,standard,none,married,sometimes,yes,1,private,05-Oct,78,77,88
496,male,group D,some high school,standard,none,married,sometimes,no,3,school_bus,05-Oct,64,65,76
497,male,group C,associate's degree,standard,none,married,sometimes,no,3,school_bus,05-Oct,85,76,80
498,female,group B,high school,standard,none,single,sometimes,yes,2,school_bus,> 10,82,82,74
499,female,group D,associate's degree,standard,completed,married,sometimes,yes,0,school_bus,05-Oct,70,66,50
500,female,group B,associate's degree,free/reduced,completed,divorced,sometimes,no,1,school_bus,< 5,57,63,49
501,male,group C,bachelor's degree,free/reduced,none,single,regularly,no,4,private,05-Oct,50,49,40
502,male,group D,high school,standard,none,married,regularly,no,3,school_bus,05-Oct,63,56,60
503,female,group B,bachelor's degree,standard,none,divorced,sometimes,no,1,school_bus,05-Oct,86,81,77
504,male,group D,high school,standard,none,married,never,yes,1,private,< 5,73,76,72
505,female,group B,master's degree,standard,none,married,sometimes,yes,3,private,05-Oct,92,93,84
506,male,group E,some high school,free/reduced,none,single,regularly,no,1,school_bus,05-Oct,57,51,64
507,female,group C,master's degree,standard,completed,widowed,sometimes,no,2,private,> 10,82,89,73
508,female,group E,,free/reduced,completed,married,sometimes,no,3,private,05-Oct,90,88,83
509,female,group B,some college,standard,,single,sometimes,no,2,private,05-Oct,84,75,69
510,female,group E,bachelor's degree,standard,completed,married,never,yes,0,private,< 5,92,92,88
511,male,group C,associate's degree,free/reduced,none,married,sometimes,no,2,school_bus,05-Oct,62,67,67
512,female,group C,some high school,standard,none,divorced,regularly,yes,2,school_bus,05-Oct,72,64,64
513,male,group B,associate's degree,standard,completed,married,sometimes,yes,4,private,05-Oct,82,85,83
514,female,group D,some college,standard,completed,married,regularly,no,2,,05-Oct,51,64,47
515,female,group A,associate's degree,standard,none,,sometimes,yes,3,private,< 5,81,78,74
516,female,group B,associate's degree,standard,completed,married,sometimes,no,,school_bus,05-Oct,83,88,74
517,male,group A,some high school,standard,none,married,sometimes,no,2,school_bus,> 10,56,47,61
518,male,group C,some college,free/reduced,completed,,regularly,yes,3,school_bus,05-Oct,71,73,63
519,male,group D,high school,standard,none,single,sometimes,no,4,school_bus,< 5,65,61,64
520,female,group D,high school,free/reduced,none,married,regularly,yes,5,school_bus,05-Oct,63,66,57
521,male,group B,some high school,standard,completed,married,sometimes,yes,3,school_bus,05-Oct,75,70,69
522,male,,some high school,free/reduced,completed,single,sometimes,no,3,school_bus,< 5,71,74,77
523,male,group A,,standard,none,married,regularly,no,1,school_bus,05-Oct,59,58,63
524,male,group C,some high school,free/reduced,completed,married,never,yes,0,private,< 5,67,66,57
526,female,group D,bachelor's degree,standard,none,divorced,regularly,no,7,school_bus,05-Oct,83,92,84
528,female,group A,associate's degree,standard,none,married,regularly,yes,0,private,< 5,59,66,67
530,female,group B,some high school,free/reduced,none,single,sometimes,no,3,private,> 10,57,49,51
531,female,group E,some high school,standard,none,married,sometimes,yes,2,private,05-Oct,74,84,83
532,female,group A,associate's degree,free/reduced,completed,single,regularly,no,4,school_bus,> 10,79,74,58
533,male,group A,bachelor's degree,standard,none,married,sometimes,yes,0,private,< 5,74,67,86
535,male,group C,associate's degree,standard,none,divorced,sometimes,no,2,school_bus,05-Oct,84,82,86
536,male,group E,associate's degree,standard,none,married,sometimes,yes,1,school_bus,05-Oct,70,60,83
537,male,group C,some college,standard,none,married,regularly,yes,4,private,05-Oct,58,48,51
538,male,group C,associate's degree,standard,none,married,never,yes,4,,05-Oct,57,53,64
539,male,group D,some high school,standard,completed,married,regularly,yes,0,school_bus,05-Oct,72,71,80
540,male,group C,high school,standard,none,married,regularly,yes,0,private,> 10,55,46,59
541,male,group E,associate's degree,standard,none,married,regularly,yes,3,school_bus,05-Oct,86,80,90
542,male,group E,some high school,standard,completed,married,,yes,7,private,< 5,50,49,55
543,female,,bachelor's degree,standard,completed,divorced,never,yes,0,private,< 5,89,87,75
544,male,group D,some college,standard,,married,regularly,yes,1,private,< 5,61,62,70
545,male,group E,associate's degree,free/reduced,none,single,regularly,yes,1,private,< 5,50,51,51
546,female,group B,high school,standard,completed,divorced,sometimes,yes,4,school_bus,> 10,89,91,78
547,female,group E,some college,standard,,married,regularly,yes,3,school_bus,05-Oct,85,71,75
548,female,group C,some high school,standard,none,divorced,never,yes,3,private,05-Oct,65,62,53
549,female,group D,some high school,standard,completed,married,never,yes,1,private,05-Oct,65,69,56
550,female,group E,bachelor's degree,free/reduced,completed,,sometimes,yes,3,school_bus,< 5,97,98,84
551,female,group B,master's degree,standard,none,married,sometimes,yes,1,private,< 5,63,62,66
552,female,group C,some college,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,69,65,63
553,male,group E,,standard,none,,sometimes,no,,school_bus,05-Oct,81,79,83
554,male,group A,high school,standard,none,married,sometimes,no,3,school_bus,> 10,56,47,60
555,male,group A,high school,standard,completed,divorced,sometimes,,2,private,< 5,76,74,79
556,male,group C,high school,standard,none,married,sometimes,yes,2,school_bus,< 5,65,57,74
557,male,group D,high school,free/reduced,none,married,sometimes,no,4,,05-Oct,30,34,38
558,female,group D,high school,standard,none,married,sometimes,yes,2,private,< 5,78,70,58
559,male,group D,associate's degree,standard,,married,never,yes,0,school_bus,05-Oct,87,87,95
560,male,,bachelor's degree,free/reduced,none,married,regularly,yes,2,,< 5,50,54,58
561,female,group B,associate's degree,standard,completed,,never,yes,2,private,< 5,76,77,66
562,male,group C,high school,standard,completed,single,sometimes,yes,1,school_bus,05-Oct,72,74,67
563,male,group D,some high school,free/reduced,completed,married,regularly,yes,5,private,05-Oct,70,70,66
564,female,group D,some college,standard,none,,sometimes,yes,2,school_bus,> 10,89,82,65
565,male,group C,high school,free/reduced,none,married,sometimes,yes,5,school_bus,> 10,66,57,60
566,female,group D,some high school,free/reduced,completed,married,regularly,no,2,,05-Oct,36,38,32
567,male,group C,some college,standard,completed,married,sometimes,,0,school_bus,05-Oct,73,76,80
568,female,group C,bachelor's degree,standard,,divorced,sometimes,yes,1,,05-Oct,97,97,84
569,female,group A,,free/reduced,none,single,sometimes,yes,4,school_bus,< 5,58,59,40
570,male,group C,some college,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,51,49,52
571,female,group D,bachelor's degree,standard,completed,divorced,sometimes,yes,,school_bus,05-Oct,75,82,69
572,female,group B,some college,standard,none,,sometimes,no,2,school_bus,> 10,81,82,77
573,female,,some college,standard,none,divorced,regularly,yes,0,school_bus,05-Oct,72,75,66
575,male,group D,,free/reduced,none,divorced,regularly,yes,3,school_bus,< 5,62,63,64
577,male,group D,some college,standard,completed,married,regularly,no,3,private,05-Oct,61,66,70
578,female,group C,associate's degree,standard,none,single,sometimes,no,2,private,05-Oct,100,98,93
579,male,group C,high school,standard,completed,widowed,regularly,no,3,private,05-Oct,53,50,59
580,male,group C,associate's degree,free/reduced,none,single,never,no,,private,> 10,55,48,52
581,male,group C,associate's degree,standard,none,married,never,no,1,private,05-Oct,48,48,46
582,female,group C,some college,free/reduced,completed,divorced,sometimes,yes,1,private,05-Oct,83,88,68
583,female,,associate's degree,standard,none,married,sometimes,no,3,private,< 5,57,60,54
584,male,group C,associate's degree,standard,none,single,sometimes,yes,2,,05-Oct,35,36,47
585,female,group B,associate's degree,standard,,married,sometimes,yes,2,school_bus,05-Oct,92,84,62
586,female,group E,high school,free/reduced,none,married,regularly,no,3,private,> 10,62,58,56
587,male,group C,master's degree,standard,completed,married,regularly,no,3,private,> 10,63,69,76
588,female,group E,high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,75,67,62
589,female,,some college,free/reduced,none,single,sometimes,yes,1,school_bus,< 5,53,49,33
590,female,group D,master's degree,free/reduced,,single,regularly,,1,private,< 5,92,99,84
591,female,group D,master's degree,standard,completed,married,sometimes,yes,4,private,> 10,100,100,91
592,female,group D,some high school,free/reduced,completed,married,regularly,no,5,private,05-Oct,55,51,38
594,female,group C,master's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,66,62,48
595,male,group C,some college,standard,none,divorced,regularly,no,3,school_bus,> 10,78,78,84
596,male,group D,some college,standard,none,single,sometimes,no,3,school_bus,05-Oct,92,90,88
597,male,group B,some high school,standard,completed,married,sometimes,yes,1,school_bus,05-Oct,82,83,85
598,male,group E,master's degree,free/reduced,none,married,regularly,no,1,school_bus,05-Oct,66,55,69
599,male,group C,high school,standard,none,,sometimes,yes,4,private,< 5,71,66,73
600,male,group C,some college,standard,none,married,sometimes,no,3,private,05-Oct,60,57,71
601,female,group C,some college,standard,completed,married,regularly,no,1,school_bus,05-Oct,56,58,51
602,female,group C,master's degree,standard,none,single,sometimes,,2,private,> 10,75,77,68
603,female,group B,associate's degree,standard,,,sometimes,no,4,private,< 5,74,69,66
604,female,group C,some college,standard,,married,regularly,no,1,school_bus,05-Oct,60,65,54
605,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,,05-Oct,70,73,57
606,male,group E,master's degree,standard,completed,divorced,regularly,no,1,private,> 10,100,100,100
607,male,group A,master's degree,free/reduced,none,married,regularly,yes,3,private,< 5,59,56,59
608,female,group D,associate's degree,free/reduced,completed,married,sometimes,no,2,private,05-Oct,61,71,50
609,male,group C,master's degree,standard,completed,married,sometimes,no,1,,05-Oct,99,100,100
610,female,group C,associate's degree,standard,completed,single,never,yes,3,private,05-Oct,83,82,73
612,female,group C,some college,free/reduced,none,married,never,yes,4,private,05-Oct,51,54,44
613,female,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,3,school_bus,> 10,70,71,62
614,female,group B,high school,free/reduced,none,married,sometimes,no,4,school_bus,05-Oct,72,68,63
615,female,group E,high school,standard,,divorced,sometimes,yes,4,private,05-Oct,68,65,61
616,male,,bachelor's degree,free/reduced,none,divorced,sometimes,no,1,school_bus,05-Oct,86,83,86
617,female,,bachelor's degree,free/reduced,none,married,regularly,yes,7,school_bus,< 5,60,64,43
618,male,group A,high school,standard,none,,regularly,yes,0,school_bus,05-Oct,87,78,89
619,male,group C,,standard,completed,married,sometimes,yes,3,school_bus,< 5,50,53,56
620,female,group E,some college,free/reduced,none,widowed,regularly,yes,,private,05-Oct,92,96,86
621,male,group D,some high school,standard,none,divorced,never,no,6,private,> 10,65,69,80
622,female,group D,some college,standard,completed,married,sometimes,,2,school_bus,,76,83,68
623,male,group E,some college,standard,completed,married,regularly,yes,,,< 5,57,62,72
624,female,group D,associate's degree,free/reduced,,married,regularly,yes,1,school_bus,05-Oct,57,66,49
625,female,group D,bachelor's degree,standard,completed,married,sometimes,no,2,private,05-Oct,100,100,95
626,male,group B,some college,standard,completed,single,sometimes,no,1,school_bus,05-Oct,76,77,89
627,male,group D,some high school,standard,completed,married,regularly,yes,1,school_bus,< 5,71,69,67
628,male,group E,master's degree,standard,completed,married,sometimes,yes,2,private,05-Oct,60,67,72
629,female,group D,some college,standard,none,married,sometimes,yes,0,private,05-Oct,66,70,68
630,male,group E,master's degree,free/reduced,completed,married,sometimes,yes,2,private,< 5,73,77,84
631,male,group C,some college,standard,completed,married,sometimes,no,1,private,05-Oct,49,46,59
632,female,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,1,private,> 10,90,95,81
633,male,group D,some high school,standard,completed,,regularly,no,1,school_bus,05-Oct,82,87,80
634,female,,high school,standard,none,married,sometimes,yes,2,private,05-Oct,74,78,83
635,female,group C,bachelor's degree,free/reduced,none,single,regularly,no,,,05-Oct,85,91,77
636,female,group C,some high school,free/reduced,completed,married,regularly,no,3,,< 5,69,69,55
637,male,group D,associate's degree,free/reduced,completed,married,sometimes,yes,0,private,05-Oct,86,86,83
638,female,group B,high school,standard,none,married,sometimes,yes,4,school_bus,05-Oct,79,75,72
639,female,group C,high school,free/reduced,none,single,sometimes,yes,2,school_bus,< 5,66,63,56
640,female,group E,some high school,standard,none,married,sometimes,yes,1,private,05-Oct,79,75,77
641,female,group A,associate's degree,standard,none,single,sometimes,no,6,,05-Oct,96,91,87
642,female,group C,some college,free/reduced,none,single,regularly,no,2,school_bus,< 5,64,66,50
643,female,group A,bachelor's degree,standard,,married,sometimes,yes,4,school_bus,> 10,97,97,91
644,male,group C,some high school,free/reduced,completed,married,never,yes,1,private,05-Oct,64,61,60
645,female,group B,some college,standard,completed,divorced,sometimes,yes,2,school_bus,< 5,91,84,69
646,male,group D,some college,free/reduced,none,single,sometimes,yes,1,school_bus,< 5,80,74,80
648,male,group D,some high school,free/reduced,completed,divorced,regularly,yes,3,school_bus,05-Oct,64,66,67
649,male,group D,some college,standard,none,married,regularly,yes,3,private,< 5,73,76,74
650,female,group E,high school,standard,none,married,never,yes,3,,05-Oct,79,75,74
651,female,group B,some high school,free/reduced,none,married,sometimes,no,1,private,05-Oct,37,45,43
652,female,group E,associate's degree,standard,,divorced,regularly,,0,school_bus,> 10,78,78,84
653,female,group C,high school,standard,none,single,regularly,no,2,private,> 10,71,66,60
655,male,,some college,standard,completed,divorced,regularly,yes,2,school_bus,05-Oct,56,58,58
656,female,group C,associate's degree,standard,completed,,regularly,yes,4,,< 5,92,92,86
657,female,group D,some college,standard,none,married,sometimes,yes,2,school_bus,< 5,53,53,45
658,male,group C,associate's degree,standard,none,married,sometimes,yes,2,private,05-Oct,70,62,70
659,female,group D,master's degree,free/reduced,,single,regularly,yes,1,private,< 5,69,67,57
660,male,group B,some college,standard,none,single,regularly,no,4,,< 5,70,69,67
661,female,group D,high school,free/reduced,none,married,never,yes,1,private,< 5,75,70,59
662,female,group B,high school,free/reduced,none,divorced,never,yes,1,private,> 10,77,83,72
663,male,group D,high school,standard,none,single,sometimes,yes,3,school_bus,< 5,65,67,79
664,male,,some high school,standard,completed,single,regularly,yes,7,school_bus,,55,56,66
665,female,group B,some college,standard,completed,divorced,sometimes,yes,3,private,05-Oct,74,76,54
666,female,group C,high school,standard,completed,married,sometimes,yes,0,school_bus,05-Oct,65,69,68
667,male,group D,some high school,free/reduced,none,divorced,sometimes,no,3,private,> 10,52,49,61
668,female,group A,high school,standard,none,single,sometimes,yes,4,,05-Oct,69,67,65
669,male,,master's degree,free/reduced,completed,married,sometimes,yes,2,private,> 10,79,79,80
670,male,group E,associate's degree,standard,completed,single,regularly,no,,school_bus,> 10,84,82,90
671,male,group B,associate's degree,free/reduced,none,married,sometimes,no,6,private,,40,44,53
672,male,group D,master's degree,free/reduced,completed,divorced,sometimes,yes,1,school_bus,05-Oct,90,98,96
673,male,group D,some high school,standard,none,married,never,,0,private,05-Oct,54,51,63
674,male,group D,high school,standard,completed,single,sometimes,no,,private,05-Oct,81,82,70
675,male,group B,high school,free/reduced,completed,married,never,yes,2,private,05-Oct,43,33,35
676,male,group C,associate's degree,free/reduced,none,single,sometimes,yes,0,school_bus,05-Oct,60,57,61
677,male,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,school_bus,05-Oct,89,88,87
678,female,group D,some high school,standard,none,married,sometimes,yes,2,school_bus,05-Oct,65,65,51
679,female,group D,some high school,standard,none,married,regularly,no,3,school_bus,> 10,80,84,82
680,male,group D,associate's degree,standard,none,married,,no,2,private,< 5,67,66,74
681,male,group C,some college,standard,none,single,sometimes,no,1,private,05-Oct,35,42,55
682,male,group E,some college,free/reduced,none,married,regularly,yes,4,private,< 5,82,74,82
683,male,group D,associate's degree,standard,none,married,regularly,no,3,school_bus,05-Oct,54,56,59
684,female,group C,some college,standard,none,married,regularly,yes,3,,05-Oct,69,71,62
685,male,group E,some high school,standard,completed,divorced,sometimes,yes,3,school_bus,05-Oct,58,57,63
686,male,group C,associate's degree,standard,none,married,regularly,yes,0,private,< 5,73,75,77
